text,label
"از چه سایتی خوبه آموزش ببینم؟  هم جاوا هم این پی اچ پی و css اینارو",1
"🔺 آموزش مفتی HTML ((100% رایگان))  👈 اینجا همیشه آموزش‌های پایه طراحی سایت + طراحی‌ها خلاقانه + کد می‌ذاریم. 👉 https://t.me/+erh0E4RDTRszZTI0  🤔 می‌دونستی که HTML هم Base یادگیری طراحی سایت هست ؟؟!! پس تا پاک نشده، عضو شو 😉👆",1
"همون فرانت کار",1
"آره",0
"Css و HTML  برای چین؟  اونا برای طراحیشن؟",1
"اهان",0
"یعنی کارای سرور و پشت صحنه سایت با این زبان هست",1
"یعنی چی",0
"بک اند",1
"میگم php زبان بکنده",1
"چی؟",0
"وقت نیست الان برای آزمون پایان ترم لازم دارم، وگرنه خودم دوره می شناسم اما اون خیلی طولانیه نمی تونم برسونم به آزمونم",1
"بنظرم اگه میخواید خوب و اصولی یاد بگیرید از منابع انگلیسی استفاده کنید منبع فارسی نمیدونم",1
"مباحث رو دست و پا شکسته بلدم",1
"انگلیسی نباشه لطفا",0
"انگلیسی بلد هستید؟",0
"الان سطحتون توی سی پلاس پلاس چقدره؟",1
"کسی جزوه C++ استاد شیرافکن رو داره؟ یا جزوه ی خوب برای C++ پیشرفته؟ برای آزمون پایان ترم دانشگاه نیاز دارم، هزینه هم لازم باشه میدم اگه گروه برای C++ و پایتون دارید می فرستید برام؟",1
"خواهش میکنم",0
"اها مرسی لطف کردی🤍 دوره گذاشته بودن خواستم ببینم برم یا نه",1
"جدیدا که بیشتر برای هوش مصنوعی استفاده میشه",1
"آها مرسی🤍 من منظورم این بود تو توسعه نرم افزار هست یا چیز دیگه ای؟!",1
"تحلیل داده توی همون شاخه علم دیتا هست",1
"سلام  تحلیل‌داده‌با‌پایتون‌بارویکرد‌علم‌داده  برای چه شاخه ای هست؟؟",1
"والا من که از هوش مصنوعی توی این حوضه استفاده کردم خیلی جوابای احمقانه ای میداد  فعککک نکنم",1
"بنظرت با این روند رشد هوش مصنوعی تاثیر منفی رو این حوضه نداره؟",1
"بنظرم اگه میتونی خودت موتور بازی سازیت رو درست کن  چون اکثرا بازی های خوب موتور بازی سازی مختص خودشون رو نوشتن . (معمولا با همون سی پلاس پلاس مینویسنش)",1
"این زبان بکنده",1
"PHP چی؟",1
"برا سایت من فک کنم Html , css و جاوااسکریپت",1
"اینم میشه جواب بدی؟  ببخشید یکم زیاد سوال پرسیدم",0
"سی پلاس من برای کار با انریل دارم یاد میگیرم ولی زمینه های دیگه‌ام هست که کاربرد داشته باشه؟؟؟",1
"عاقا سلام",0
"اره",0
"الان C# هستم تازه شروع کردم فردا میخوام برنامه شو نصب کنم دارم از فرادرس آموزش میبینم بنظرت بدرد میخوره؟",1
"یه سوال دیگه برای برنامه نویسی طراحی برنامه و بازی اندروید و طراحی سایت چه زبانی خوبه یاد بگیرم؟",1
"اها",0
"شما پروژه بنویسید رزومه سازی کنید  از این روش پل رو برای رفتن هموار کنید  داخل مسابقات مختلف شرکت کنید و …",1
"اکثرا معتبر نیستن",0
"و از این ور هم دوست دارم برنامه نویسی یاد بگیرم",1
"اگر از این سایت ها مدرک بگیرم مثلا ارزشی داره برای مهاجرت؟  یا باید حتما رشته ریاضی باشه من چون خودم رشته م انسانیه دوست دارم برای معلمی یا وکالت بخونم",0
"نه  من یکی از دوستام مثلا یه مدرک گرفته از یه سایتی 80 میلیون هزینه آزمونش شده ولی این سایت معتبره  خارجی هم هستش ایرانی نیستش",0
"یعنی اگر مدرک ریاضی نداشته باشی هیچ ارزشی نداره؟",0
"یه کانال معرفی کنید که اکسل رو از صفر یاد بده",0
"مدرک ایرانی به درد نمی خوره ولی رزومه رزومه سازی عالیه",1
"سلام وقت بخیر",0
"نه",0
"بستگی به روزومه ای که ساختی داره",1
"نه",0
"مثلا رشته ت ریاضی نباشه اما از چند سایت معتبر مدرک بگیری برای مهاجرت بدرد میخوره؟",0
"اگر مدرک نداشته باشی ولی مثلا برنامه نویسی اینا بلد باشی چی؟",1
"علاقه به گرایش مورد نظر از همه چیز مهم تره",0
"پس علوم کامپیوتر بهترین انتخابه چون در سراسر دنیا هست",1
"قطعا برای مهاجرت هستش",0
"متشکر",0
"ولی اگر قصد در ایران ماندن دارید مهندسی کامپیوتر",1
"مهندسی کامپیوتر در خارج از کشور وجود نداره ولی علوم کامپیوتر داره",1
"سلام رفقا برای انتخاب رشته برم علوم کامپیوتر یا مهندسی کامپیوتر کدوم بهتره برای تحصیل به نظرتون؟",1
"پی بیام بدید",0
"سلام نرم افزاری سراغ دارید برا ساخت پوستر",1
"برای دوستان میفرستم",0
"سلام یه پروژه با c# میخام هرکسی مهارت کافی داره لطفا پی وی پیام بده",1
"اردواینو شنیده بودم که با C هم میشه برنانه نویسی کرد میخواستم ببینم C++ بهتره یا C",1
"شما هم همین طور",0
"پیدا کردی برا منم بفرست",0
"کسی تمرینات C++ پیج  OpenCode یوتیوب رو داره؟",1
"سنگینه. بهتره اول حوزه کاری رو مشخص کنید و بعد زبانی که لازمه رو یاد بگیری",1
"بزن تو گوگل Sa:mp",1
"تو چه حوزه ای میخوای فعالیت کنی بزار اینجوری بگم",1
"میخوای چیکار کنی",0
"سمپ کجاس؟",1
"داداش اینجارو با سمپ اشتباه گرفتی",1
"دوره فوایدش چیه مثل ویتامین عمل میکنه؟ سرچ بزنم گوگل میاد؟",0
"بیا پی",0
"کاکه هر له نصب اولیه اوی دنوسه",0
"برنامه کامپایلر ++g",1
"دوستان این مشکل در نصب Msys چیه؟",1
"آقا یه سوال در رابطه با فریلنسری داشتم کسی هست جواب بده ممنون",1
"اوکی",0
"بله",0
"گوگل بزن سایت تاپ لرن اون",1
"بچه‌ها گفتن خوبه تو سی پلاس",1
"پی وی ی پیام بذارید البته خودمم هنوز ندیدم فقط بهم پیشنهاد دادن",0
"خب میتونین لینک آقای مدائنی رو بفرستین؟",1
"میتونین لینکشو بدین؟",0
"بچه های گپ ب خودم دوره های یوتیوب نئون لرن رو پیشنهاد دادن",1
"شیرافکن اصلا خوب نیس",1
"واسه ++C شیرافکن میگن خوبه  واسه سی شارپ هم مدائنی",1
"پی وی ی پیام بهم بدید",0
"کسی دانلودر از یوتیوب سراغ داره اینجا؟",1
"حتما  خیلی ممنون از شما",0
"اهان حله دمت گرم",0
"من علاقه ای به زبان سی ندارم فقط گفتن برای شروع خوبه از سی شروع کنیم بخاطر همین رفتم ویدیو هاشو دیدم",1
"بستگی به سایتش نداره باید ببینید با تدریس کدوم استاد بهتر می تونید ارتباط برقرار کنید",1
"پس تدریس استاد نیسی رو ببینید دوره ی چله نشینی ای که دارن می ذارن به نظر من که خیلی خوب بود تدریس شون",1
"شما تا زمانی میتونید از یه زبان سر در بیارید که خودتون با اون زبان  برنامه بنویسید وقتتونو پای دوره های طولانی تلف نکنید",1
"ممنونم  از تدریس شیرافکن خوشم نیومد",1
"بنظرم یکی یکی یاد بگیرین برین زبان بعدی  کنار دیدن کلیپا همزمان تمرین کنین  سایت فرادرس کدیاد مکتب خانه از ایم سایتام بررسی کنین با هر کدوم اکی بودین ببینین",1
"در کل کم کم ریاضیاتتونم بهتر کنین چون نیاز میشه گاهی و اینکه خب با یه مدرس دیگه از اول ادامه میدادین",1
"سایت فرادرس خوبه برای یادگیری؟",1
"استاد کاظم نیسی خوب درس میدن استاد فرشید شیرافکن کدیاد",1
"اره دقیقا برای این میخوام کلا سه هدف دارم توی برنامه نویسی طراحی بازی و برنامه اندروید طراحی سایت و نفوذ مورد سومی اهمیتش یکم کمتره",1
"همش ریاضی میوورد خودش با سواد بود یه سری چیز هارو اصلا بدون توضیح رد میکرد و میرفت",1
"زبان برنامه نویسی میس که بشه مطلقا گفت بده یا خوب بسته به این داره که تو هدفت چی باشه  واسه کارای گرافیکی توسعه بازی و خیلی چیزای دیگه کار برد داره  ولی بکنم عمدتا واسه ویدوز اینا بکار میره",1
"خب سردر نیاوردی که درست نیست شاید شخصی که تدریس میکرده با سبک یادگیریه تو سِت نبوده و با مدرس یا کتاب های دیگه مسلط بشی",1
"اره",0
"سلام دوستان C++برای شروع خوبه؟",1
"سی شارپ بدرد نمیخوره بنظرت؟",1
"از سی شروع کردم الان سی شارپم از سی زیاد سر در نیووردم راستش فقط بعضی دستور هارو یاد گرفتم و ردش کردم",1
"سلام دوستان    الگوریتم،  ساختمان داده، deep learning و machine learning   از کجا یاد بگیرم؟   دوره عالی به زبان فارسی معرفی میکنید.   ممنونم.",1
"خیلی ممنون",0
"سی و پنج ساعت فکر نکنم کم باشه",1
"نیاز نیست الکی هزینه کنی🤝",0
"کلی دوره رایگان و بدردبخور",1
"برو تو یوتیوب",1
"نه تازه شرو کردم",1
"نئون لرن آموزش رایگان داره معروفه تو یوتیوب سرچ نکردی مگه",1
"وقت بخیر دوستان  کدوم مدرس ++C رو خوب درس میده؟ کسی فیلم آموزشی داره؟",1
"سلام دوستان دوره رایگان ورد پرس هست کسی میخاد بیاد پی وی",1
"واسه وب پیتونی با html شروع کنی سپس css و بعد جاوا اسکریپت",1
"youtube.com/channel/UCjGdUsrDklgZTvWtLlk6hsA   خوشحال میشم اگر به برنامه نویسی اندروید علاقه مند هستید چنل یوتیوبم رو سابسکرایب کنید",1
"وقت بخیر کوپایلت در وی اس کد مگه رایگان نبود  از من اکانت پرو میخاد الان  ممنون میشم راهنمایی بفرمایید.",1
"من به برنامه نویسی طراحی برنامه موبایل و طراحی سایت علاقه دارم از کجا باید شروع کنم؟",1
"نه جاوا",1
"اسکریپت؟",1
"برای یادگیری جاوا منبع خوبی میشناسید؟",1
"هیچی   فقط یه کد ادیتور میخای میتونی از vs code  استفاده کنی",1
"برا جاواسکریپت چه برنامه ای رو رو لپتاب نصب کنم؟",1
"؟؟؟",0
"اول ببین به چه حوزه ای علاقه داری بعدش با توجه به اون حوزه بپرس جواب میدن یا میدیم",1
"GitHub  کسی می‌دونه کد هارو از داخل این سایت چجوری میشه ورداشت",1
"سلام",0
"از نقطه شروع",1
"۰ میلیون تا بینهایت",0
"می‌خوام برنامه نویسی یاد بگیرم میشه بگید اگه حرفه ای بشم میتونم ماهیانه چقدر درآمد داشته باشم؟",1
"برادرا یه سوال",0
"خسته نباشید",0
"سلام",0
"سلام خسته نباشید یک سوال در آینده بیشتر از اپلیکیشن های native استفاده خواهد شد یا تحت وب pwa ?",1
"سلام کسی میدونه از کجا میتونم دوره های ۱۲ قدم‌ رو رایگان ببینم؟",1
"از نمونه های موجود در سایت های خارجی ایده بگیرین",1
"خیلی سخته بخام دیزاین خوب در بیارم",1
"اموزش ببین",1
"سلام دوستان کسی در زمینه ui و ux میتونه کمکم کنه؟ من یک برنامه موبایل ساختم میخام ظاهر و تجربه کاربری افزایش بدم",1
"🔺 آموزش مفتی HTML ((100% رایگان))  👈 اینجا همیشه آموزش‌های پایه طراحی سایت + طراحی‌ها خلاقانه + کد می‌ذاریم. 👉 https://t.me/+erh0E4RDTRszZTI0  🤔 می‌دونستی که HTML هم Base یادگیری طراحی سایت هست ؟؟!! پس تا پاک نشده، عضو شو 😉👆",1
"قبل از اینکه راه طولانی برید و بخاطر بازار کار پشیمون بشید، بهتره اول یه تحقیق کنید.  ببینید هر زبون بیشتر تو چه حوزه ای کار داره و میزان موقعیت کاری و برنامه نویس رو بشناسید.  بعد یه حوزه رو انتخاب کنید و زبونهای لازم‌ اون رو یاد بگیرید.",1
"مثلا بگی پایتون زبان خوبیه اونو یاد میگیرم این اشتباهه",1
"معمولا از روی هدف و علاقه زبان برنامه نویسی انتخاب میشه از روی زبان بخواین هدفو مشخص کنین زیاد جالب درنمیاد",1
"مشکلم دوره نیس مشکلم اینه ک تو یجای ایرانی میخام تاسرعت دانلود بیشتر باشع. 🥲ولی نیس توتلگرام  دوره و پی دی اف زیاددارم",1
"دوره خوب دارم",1
"پایتون رو ادامه بده تموم کن",1
"رزومه ام چطوره بزرگواران ؟ کانال پروفایلم گذاشتم توی گروه ها نمیشه فرستاد",1
"نمیدونم چ زبانی خوبه پایتون رو مقداری دارم یادمیگیرم...",1
"درود دوستان  پروژه های دانشجویی برنامه نویسی سی شارپ و سی پلاس پلاس پذیرفته میشه.",1
"چه زبانی",1
"دوره های دیگه هم خواستید می تونم معرفی کنم",1
"دوره ی چله نشینی استاد نیسی توی یوتیوب رو ببینید، اول اینکه از روی کتاب پیش می رن، بعدم زیر به ریز نکات کاربردی رو می گن، من خودم دوره زیاد دیدم، اما تدریس شون واقعا به نظرم خوبه و قابل فهم",1
"https://digiato.com/artificial-intelligence/google-introducing-opal  چی بگم اینم از این خبر",1
"منظورم این بود که حتی اگه موقع یاد گرفتن از اون مساله فرار کنین باز بعدها که میخواین کد بنویسین خودبخود پیش میاد",1
"خب وقتی یادنگیرم چطوری کد بزنم:/",1
"از javascript میشه کد cpp رو فراخوانی کرد؟",1
"خیر🪴",0
"اگه واسه یاد گرفتن هم نشه واسه کدنویسی میشه.",1
"خب کتاب از وبسایت بخونم ک  چشام ضعیف میشه🥲 دوره راحتتره",1
"کتاب یا مطالب متمرکز وبسایت منابع بهتری به نسبت دوره های ویدئویی هستن. جزییات رو بیشتر بررسی میکنن.",1
"والا من هر چی کردم کار نکرد",0
"چرا با vpn",0
"کوپایلوت کار نمیکنه",1
"هن",0
"کسی افزونه خوب ai بجز کوپایلوت برای vscode یا intellij میشناسه؟",1
"سلام کسی دوره های برنامه نویسی رو بدون اشتراک توی اپارات داره معرفی کنه؟",1
"گروه kotlin ندارین ؟",1
"۲۰ تا ۱۴۰ میلیون  c++  زبان خوبیه اگه شک داری rust یاد بگیر ۲۰۲۸ هم کربون میاد",1
"c++?",1
"دوره چله نشینی استاد نیسی توی یوتیوب",1
"برای شروع زبان c از چه منبع فارسی زبان شروع کنم ممنون میشم راهنمایی کنید",1
"دوستان سلام",0
"سلام",0
"در حال پاک شدن ❌👆",0
"رفتیییین ؟؟؟!!! بردااااریم ؟؟؟!! 😒👆👆",0
"از سایت خودش دانلود کن، همین که گفتی بزن مرورگر",1
"👈 لیست VIP کانال‌ها و گروه‌های مخفی ما https://t.me/addlist/d6YGwhX12xBlNmE0",0
"اگ مثلا خیلی حرفه ای بشیم ماهانه چقدر میشه حداقل کسب درآمد داشت؟",1
"C++",1
"کدوم زبان؟؛",1
"تقاضا داره دیگه؟",1
"میگم برای این زبان برنامه نویسی بازار کار هم هست؟ منظورم توی سایتای مختلف هست..",1
"در مرورگر بنویسید دانلود ویژوال استودیو کد",1
"خب نمیدونم از کجا دانلود کنم",1
"دانلود کنید اول",1
"برای ویندوز 11",1
"میخوام نصبش کنم",1
"مشکل چیه",0
"بله",0
"سلام کسی بلده برنامه visual studio چطور نصب میشه؟",1
"اما از بین این دوتا. فک کنم دومی بود با نسخه های جدیدتر ogl هماهنگتر بود.",1
"سلام دوستان.  کلاس آموزشی خوب آنلاین( برنامه نویسی/ طراحی سایت ) با پشتیبانی سراغ دارید؟   یعنی هر جلسه تمرین و رفع اشکال داشته باشن",1
"واسه کاری که تو آینده طولانی سرپا بمونه پیشنهاد میشه ogl با vulkan جایگزین بشه هر چند بایدی در کار نیست.",1
"پیvی جزییات بفرستید",0
"بنظرتون glew یا glad برای اوپن جی ال",1
"سلام ببخشید کسی میتونه داکیومنت برا پروژم درست کنه هزینشو میدم",1
"Visual studio code",1
"Visual studio",1
"دوستان ی سوال من ویژوال استودیو رو باز میکنم اینشکلی باز میشه",1
"اها بله الان متوجه شدم  درسته  ممنون",0
"منظور من دسته کلی ideها بود مث کدبلاکس یا خود vs یا vs code. درسته که نیاز به انتحاب و نصب کامپایلر داره اما بیش از تکست ادیتوره. خودم با ide کار نمیکنم اما فک میکنم vs code جز دسته ideها بحساب بیاد.",1
"جسارتا اگر اشتباه نکنم وی اس کد یک ادیتوره و نیاز به نصب کامپایلر هم داره برای اجرای برنامه ها( احتمالا شما منظورت محیط یکپارچه ویژوال استدیو هست)",1
"فصل اول اخراش  یدونه عنوانش در مورد نرم افزارا لینک گذاشته( لینک ide ویژوال رو گذاشته)",1
"پروژه دارید؟پیvی",1
"بله بفرمایید",0
"اگه تازه یادگرفتن c یا cpp رو شروع میکنین به کامپایلر اهمیتی ندید. با ide مث visual studio code یا فامیلهای وابسته اش کار کنید",1
"تو لینوکس خوبه یا ویندوز؟",1
"gcc هست دیگه",1
"من تاحالا نخوندمش",0
"میشه راهنمایی کنین",0
"بابا من نمیفهمم کو آخه",0
"کجا کامپایلر معرفی کرده",1
"سلام وقتتون بخیر  کسی کتاب آموزش سی پلاس پلاس دایتل اند دایتلو داره؟",1
"باید فعالیت کنی  مثلا پروژه اپلود کنی ادیت کنی و ...  خودش بر اساس فعالیتی که انجام میدی خونه هارو سبز میکنه",1
"عع علی",0
"سلامت باشید سوالتون رو بپرسید و اسپم نکنید",0
"کسایی که پروژه دانشجویی با زبان C میخان پیام بدن",1
"خسته نباشید",0
"سلام دوستان",0
"بچه ها یه سوال از چه راه هایی میشه اون خونه های گیت هاب رو سبز کرد؟",1
"عزیزان کتاب آموزش sfml version 3 سراغ دارید؟",1
"اها اره خب",0
"منظور پلتفرمو باید توسعه بدن -",1
"چی رو؟",0
"یعنی چی خب اصلا کاراییشو برای ما کلا بردن زیر سوال -",0
"هاجی اینا باید جای گزین‌ کنن خدایی -",0
"بعد وقتی از اتاق بیرون اومدم مثل جنازه‌ ها بودم",0
"فدای سرت، از من که بدبخت تر نیستی یه بار سر یه داستان ۱ روز کامل بیدار بودم با اینکه خوابم بود ولی بزور بیدار مونده بودم",0
"اره خدایی اصلا ما دزد - ارزش گریه هامو نداشت -",0
"بهترین کار:",0
"واییی یاخدا",0
"رفتم از مال یکی دیگه استفاده کردم -",0
"اصلا ست نمیشه که لینک کنه -",0
"اره منم انجام دادم -",0
"من چشام درد گرفت  یه فایلhpp  مال شبکه عصبیه بعد این وظیفه لینک داره اونجا - هیچی به هیچی فقط ارور میده -",1
"یوزرنیم گذاشتم بایو گذاشتم همه چیشو دارم درست میکنم دهنم سرویس شده",1
"منم دهنم سرویس شده رفتم گیت هابمو دارم درست میکنم",1
"تو هم؟",0
"امشب همین مضخرف دهنمو سایید -",0
"بچه ها برای گیت هاب یه سوال داشتم کسی بلده یه README.md درست حسابی درست کنه یا سایت ای رو میشناسه؟",1
"و خروجی max_elemnet پوینتری به iterator اون کانتیننر هس. اگه auto بذارید خود کامپایلر تایپ رو انتخاب میکنه.   auto m = std::max_element( vec.begin(), vec.end());  std::cout << *m <<std::endl;",1
"تابع main تو خط ۲۴ تموم شده. {  جای اشتباه بسته شده",1
"دوستان موقع نصب ویندوز. میگه درایور نداری  چیکار کنم  داریور هم دانلود کردم قبول نمیکنه",1
"داداش نصب اوبونتو که کاری نداره مگه arch هست",1
"روی وب پیج چطوری static ip ست کنی رو بلد نیستم ولی تو اینترنت سرچ کنی میاره",1
"Static ip ست کرده که dhcp نگیره",1
"دوره های رایگان کجا داره ؟ کدوم کانال تلگرام  کسی داره؟ مخصوصا جاوا اسکریپت بزلرن",1
"👍👍😁😁",0
"اره دگ ازونجا دیدم 😂😂",0
"پس جایی برو سوالتو بپرس که مطمعن باشی بلد باشن پیام بی ربط گروه هم نفرست اینجا هم بن میشی",0
"تو لاست ریسنتلی هستش مدیر جان اما لطفا بن نزنین",0
"تبلیغ بوده و من اگه می‌دیدم اخراج می‌کردم",0
"سطح سئوال : LEGEND",0
"خوب میخاستم ببینم جریان چی بوده اگه نیاز به اخراج بوده من اخراج کنم",0
"چون مطمئنم بلد نیست :|",0
"اگر کسی بلد بود پاسخ بده بهتون در غیر اینصورت متاسفم",0
"چرا از من میپرسی از خودش سوال کن",0
"بنده خدا منو ریمو کرده چون فعالیت مفیدم زیاد بوده !",0
"فک میکنی ادمین این گروه اینو بلده ؟",0
"سوالتو رو باید تو گروه html پرسید",1
"اره",0
"https://t.me/Group_HTMLDev",1
"بچه ها منظورته 🤔",0
"هیچی مدیر جان با صحبت حل شد 😄❤️",0
"سپاس از درک و همکاریتون موفق باشین من مشکلی نداشتم وگرنه خودم حذف یا بن یا ... انجام میدادم 🙂",0
"جریان چیه ؟",0
"فدای لطفت",0
"مدیر ببینه مثل من حرف نمیزنه و فوری بن میشی از من گفتن بود موفق باشی 🤷‍♂🤷‍♂",0
"اگر باز مشکلی هست تا حذف کنم",0
"بچه ها کسی با esp idf کار کرده؟  برای اتصالات gpio مشکل دارم تازه نصب کردمش  اگر بلدین بیاین پی وی",1
"پول از کسی نمیگیرم میگم کسی دونیت کنه که ربات رو رایگان برای همه بیارم بالا",1
"داداش تبلیغ کارم که نیست  میگم کسی هست کمک کنه؟ ربات رایگان هست!",1
"حذف کن تا بن نشدی",0
"تبلیغ نکن !",0
"https://codeforces.com/problemset/problem/2126/C برنامه این کد",1
"از چه منبعی شی گرائی میخونین راهنمایی میکنین لطفا",1
"سلام میشه بگین شی گرائی رو از کجا دارین مطالعه میکنین",1
"https://t.me/Group_Networks/18726https://t.me/Group_Networks/20758",0
"اینجا لینکش هست",0
"سلام بچها کسی گروه هک و امنیت داره برام پی وی بفرسته ؟   لازم دارم",1
"34 پیام با موفقیت حذف شد. 85 پیام قبلاً حذف شده بود.  زمان: 0.383 ثانیه",0
"https://t.me/Group_Networks/18726https://t.me/Group_Networks/20758",0
"ممنون میشم",0
"لینک گروهشو میدید بهم",0
"برای بازی های که با چندین ‌گرافیک مختلف و بازی های خیلی سنگین که نیازه به دریافت ۶۰ فریم برای سرعت اجرای اجرای خوبی بده ‌و بازی های خیلی حرفه ای تخصصی    C++   درکل طبق آمار بیشترین گیم ها سمت دسکتاپ با سی پلاس پلاس نوشته شدن... یا بیشترین مقدار استفاده داشته...   درکل بحث همگی درست  C# هم کاربردی ... ولی نه در بحث فوق تخصصی بازی های با پردازش های سنگین کمتر ازش استفاده میشه...تا c++",1
"بله",0
"پیام بدید به گروه امنیت و شبکه راهنمایی میشید🪴",1
"کدیاد",1
"برای ویرایش عکس و فتوشاپ کدوم هوش مصنوعی رو پیشنهاد میکنید؟",1
"پیام بدید",0
"کسی هم داخل یوتیوب رفرنس فارسی اموزش میده - خودم  قبول دارم در این مبحث اموزش های زبان اصلی خیلی بهترن  تا یه جایی هم دنبال کردم اما خب برای بعضی مباحث واقعا رفرنس فارسی نیاز مندم-",1
"دوره والا یوتیوب من نگاه میکنم ، تا یه جایی بلد میشی بعدش باید ببینی بقیه چی و چطوری هوش مصنوعی اموزش دادن",1
"سلام وقت بخیر آموزش زبان c و c++ معرفی میکنید",1
"من ترم ۴ مهندسی هوافضا هستم به این اصول و مراتب اولیه مسلط هستم - اگر ویدعو یا دوره مشخص دارین لطفا راهنمایی کنید-",1
"ریاضی بخون اول ، ریاضی ۱ ۲ دانشگاه ، اگرم خوندی مباحث ریاضی ۲ رو مرور کن بعدش برو",1
"ممنون میشم راهنمایی کنید - کمک بزرگی به من میکنین-",0
"سلام کسی برای لینوکس vpn سراغ نداره همنقدر که یکی دو بار وصل بشه کار کنه کافیه",0
"سلام دوستان پی دی اف   ساختمان داده جعفر نژاد رو دارین؟",1
"سلام",0
"کنم",0
"داخل پی وی پیام بدید راهنمای",0
"کجا میتونم شروع به کار کنم ؟",1
"بفرمایدد",0
"سلام کسی شغل برای طراحی سایت سراغ داره ؟ راهنماییم می کنید ؟",1
"پیام بدید",0
"یا کلا زبان برنامه نویسی c++",1
"هک و امنیت",1
"在 چه رابطه ای ؟",0
"سلام برو بچ کسی اینجا کسی هست برای راهنمایی",0
"بله",0
"عه سلام",0
"داشتم نصبش میکردم با دستورات هوش مصنوعی میزدم ارور میده نصب نمیشه",1
"سوالت چیه",0
"داشتم",0
"سلام کسی با ubuntu  لینوکس نصب کرده",1
"من هنوزم رو حرفم هستم پایه همشون cpp عه چون خیلی از فریمورک هایی که برای زبان های دیگه هم‌ میاد برای بهینه سازیش باز cpp کمک گرفتن   یکم زیادی رو این موضوع تعصب دارم",1
"فقط OpenGL",1
"چرا؟میده خب.",0
"اما خیلی از گیم های دیگه با c# هم نوشته میشم",1
"چون فقط گیمایی ک قراره خیلی خفن باشن با cpp نوشته میشن",1
"حرفت درسته  ولی تا جاییک نگفته بودی 95 درصد بازی ها",1
"الان یه بازی AAA با زبان دیگه ای نوشته شه گرافیک 5090 هم داشته باشی باور کن 30 تا فریم هم نمیگیری شاید زیر 15 باشه اصن تاخیر تو عملکرد ها الان دکمه بزن 10 ثانیه بعد انجام بده",1
"یه بازی با فقط یه زبان برنامه نویسی نیست که کنارش چیزای دیگه هم هست ولی پایه همشون cpp عه چرا؟!؟ سرعت بالا قبل اجرا شدن کامپایل میشه تبدیل به زبان ماشین میشه مدیریت حافظه داره بهترین بهینه سازیا انجام میشه باهاش حالا این وسط محاسبات ساده که چندان تاثیری نداره میتونه با زبان های دیگه باشه ولی اصل کار cpp",1
"پس c# چی میشه دوست عزیز؟",1
"عزیز دلم برای گرفتن بهترین پرفورمنس 95 درصد بازیا بر پایه ی cpp هستن",1
"این دیگه مسخره بازییه",0
"داداش ما با پایپ لاین داریکت ایکس معتاد شدیم",1
"یا بازی های حرفه ای برای کنسول و پی سی",1
"تحت وب؟!؟",1
"بعدشم بازی عه چی میخوای بسازی",1
"اصلا فکرشم نکن",0
"با cpp و qt نوشته شده",1
"مثال جامع‌اش هم تلگرام دستکاپ",1
"یه فریمورک برای نوشتن ویندوز اپلیکیشن با پایتون و cpp",1
"c# و Rust و Go هم توی همین حدودا هستش.",1
"سلام کسی با poweshell ubunto رو نصب کرده",1
"مگه با زبان دیگه میتونی پرفورمنس به این کیفیت بگیری؟!؟",1
"سلام اموزش ماشین لرینگ یا شبکه عصبی   Neural network با سی پلاس پلاس کسی سراغ داره ؟؟-",1
"QT چیه؟",1
